rawdata_folder,subject_id,session_id,structural_scanidx,mpm_pdw_scanidx,mpm_mtw_scanidx,mpm_t1w_scanidx,flip1_TB1DAM_scanidx,flip2_TB1DAM_scanidx
20240703_124903_MCH_AIP_001_001_B_1_1,AIP001001,1,3,4,5,6,7,8
20240703_141925_MCH_AIP_001_002_B_1_1,AIP001002,1,3,4,5,6,7,8
20240703_153245_MCH_AIP_001_003_B_1_1,AIP001003,1,3,4,5,6,7,8
20240703_164152_MCH_AIP_001_004_B_1_1,AIP001004,1,3,4,5,6,7,8
20240703_174711_MCH_AIP_001_005_B_1_1,AIP001005,1,3,4,5,6,7,8
20240704_092539_MCH_AIP_001_006_B_1_1,AIP001006,1,3,4,5,6,7,8
20240704_104147_MCH_AIP_001_007_B_1_1,AIP001007,1,3,4,5,6,7,8
20240704_115209_MCH_AIP_001_008_B_1_1,AIP001008,1,3,4,5,6,7,8
20240704_125842_MCH_AIP_001_009_B_1_1,AIP001009,1,3,4,5,6,7,8
20240704_140024_MCH_AIP_001_010_B_1_1,AIP001010,1,3,4,5,6,7,8
20240704_150545_MCH_AIP_001_011_B_1_1,AIP001011,1,3,4,5,6,7,8
20240704_160948_MCH_AIP_001_012_B_1_1,AIP001012,1,3,4,5,6,7,8
20240805_091829_MCH_AIP_002_001_B_1_1,AIP002001,1,3,4,5,6,7,8
20240805_104645_MCH_AIP_002_002_B_1_1,AIP002002,1,3,4,5,6,7,8
20240805_115314_MCH_AIP_002_003_B_1_1,AIP002003,1,3,4,5,6,7,8
20240805_125751_MCH_AIP_002_004_B_1_1,AIP002004,1,3,4,5,6,7,8
20240805_140349_MCH_AIP_002_005_B_1_1,AIP002005,1,3,4,5,6,7,8
20240805_150714_MCH_AIP_002_006_B_1_1,AIP002006,1,3,4,5,6,7,8
20240805_161030_MCH_AIP_002_007_B_1_1,AIP002007,1,3,4,5,6,7,8
20240805_171553_MCH_AIP_002_008_B_1_1,AIP002008,1,3,4,5,6,7,8
20240806_090203_MCH_AIP_002_009_B_1_1,AIP002009,1,3,4,5,6,7,8
20240806_102035_MCH_AIP_002_010_B_1_1,AIP002010,1,3,4,5,6,7,8
20240806_121647_MCH_AIP_002_011_B_1_1,AIP002011,1,3,4,5,6,7,8
